id,hi_int_prncp_pd,acc_now_delinq,acc_open_past_24mths,addr_state,annual_inc,application_type,avg_cur_bal,bc_util,delinq_2yrs,delinq_amnt,dti,earliest_cr_line,emp_length,emp_title,grade,home_ownership,initial_list_status,int_rate,last_credit_pull_d,loan_amnt,mort_acc,num_sats,num_tl_120dpd_2m,num_tl_90g_dpd_24m,num_tl_30dpd,out_prncp_inv,pub_rec,pub_rec_bankruptcies,purpose,sub_grade,term,tot_coll_amt,tot_cur_bal,total_rec_late_fee,verification_status
3819,0,0,2,CT,21120,Individual,3662,86.1,0,0,33.69,Sep-2010,1 year,Security Guard,C,RENT,w,12.62,Feb-2019,7000,0,18,0,0,0,3828.54,0,0,debt_consolidation,C1,36 months,0,65921,0,Verified
3820,0,0,3,CA,32400,Individual,2973,30.2,0,0,15.78,Jan-1975,3 years,Security Guard,C,OWN,w,11.99,Nov-2016,16200,2,8,0,0,0,0,3,2,debt_consolidation,C1,36 months,0,17840,0,Not Verified
3821,0,0,3,NY,30251,Individual,1983,46.2,0,0,20.04,Oct-2010,2 years,Security Guard,B,RENT,w,11.49,Apr-2018,9600,0,10,0,0,0,0,0,0,debt_consolidation,B5,36 months,0,19829,0,Source Verified
3822,0,0,1,NJ,66976,Individual,1638,77.4,0,0,8.58,Mar-2012,1 year,Security Guard,C,OWN,w,12.62,Feb-2019,12000,0,6,0,0,0,9665.27,0,0,debt_consolidation,C1,60 months,0,9830,0,Source Verified
3823,0,0,2,MO,125000,Individual,577,0,0,0,2.34,Jul-1982,10+ years,Administrator,A,MORTGAGE,w,6.49,Feb-2019,24000,4,13,0,0,0,11358.24,0,0,debt_consolidation,A2,60 months,0,6924,0,Source Verified
3824,0,0,19,CO,95000,Individual,6679,14,0,0,22.12,Mar-2004,3 years,Administrator,B,MORTGAGE,w,9.93,Feb-2019,10000,2,45,0,0,0,0,1,1,debt_consolidation,B2,36 months,0,300577,0,Source Verified
3825,0,0,8,CO,79000,Individual,18615,83.6,0,0,20.63,Dec-2002,8 years,Administrator,B,OWN,f,11.44,Oct-2018,15000,2,28,0,0,0,0,0,0,credit_card,B4,36 months,0,521212,0,Not Verified
3826,0,0,5,FL,51000,Individual,3418,93.2,0,0,26.47,Aug-2003,2 years,Administrator,C,RENT,w,12.29,Jul-2018,4000,0,9,0,0,0,0,0,0,credit_card,C1,36 months,0,30758,0,Not Verified
3827,0,0,8,IL,75500,Individual,7046,48.1,0,0,37.01,Jul-2004,< 1 year,Administrator,B,RENT,w,11.31,Feb-2019,22600,0,23,0,0,0,21534.57,1,1,debt_consolidation,B3,36 months,0,155020,0,Source Verified
3828,0,0,2,CA,175000,Individual,4422,99.1,0,0,7.71,Nov-1997,10+ years,Administrator,A,RENT,w,6.49,Jan-2019,20000,0,5,0,0,0,0,4,0,debt_consolidation,A2,36 months,0,22111,0,Not Verified
3829,0,0,0,CA,388000,Individual,81380,88.4,1,0,9.36,Jun-1990,8 years,Administrator,C,MORTGAGE,w,12.29,May-2018,35000,2,5,0,0,0,0,0,0,credit_card,C1,60 months,0,406900,0,Verified
3830,0,0,8,CA,93475,Individual,13963,54.4,0,0,27.37,Jun-1999,2 years,Administrator,E,MORTGAGE,f,19.99,Nov-2017,30000,1,33,0,0,0,0,0,0,debt_consolidation,E3,36 months,0,446816,0,Verified
3831,0,0,14,NY,148000,Individual,13132,2.8,0,0,20.07,Aug-2005,10+ years,Administrator,D,MORTGAGE,w,17.09,Mar-2018,32000,2,28,0,0,0,0,0,0,other,D1,60 months,0,367704,0,Verified
3832,0,0,10,NY,93000,Individual,8937,65.5,0,0,22.09,Feb-2003,6 years,Administrator,C,MORTGAGE,f,16.02,Feb-2019,10000,4,16,0,0,0,0,0,0,debt_consolidation,C5,36 months,0,142989,0,Verified
3833,0,0,5,TX,78000,Individual,23301,34.2,1,0,16.2,May-2003,2 years,Administrator,B,MORTGAGE,w,8.99,Apr-2018,20000,4,11,0,1,0,0,0,0,debt_consolidation,B1,60 months,0,256308,0,Not Verified
3834,0,0,7,PA,117150,Individual,14250,22.2,1,0,13.78,Sep-1993,10+ years,Administrator,B,MORTGAGE,w,8.99,Feb-2019,20000,5,12,0,1,0,0,0,0,debt_consolidation,B1,36 months,0,171000,0,Source Verified
3835,0,0,4,GA,42000,Individual,1372,44.6,0,0,15.11,Jul-1989,10+ years,Administrator,B,OWN,w,10.47,Feb-2019,15000,0,11,0,0,0,13186.35,0,0,other,B2,36 months,0,13722,0,Not Verified
3836,0,0,4,MI,90000,Individual,9833,55.8,0,0,21.12,Aug-1991,4 years,Administrator,C,MORTGAGE,w,12.74,Feb-2019,16000,3,19,0,0,0,0,0,0,home_improvement,C1,60 months,0,186831,0,Not Verified
3837,0,0,4,NJ,81500,Individual,5126,48.8,0,0,39.22,Mar-1989,10+ years,Administrator,B,RENT,w,11.99,Feb-2019,10100,0,21,0,0,0,0,0,0,debt_consolidation,B5,60 months,0,107643,15,Verified
3838,0,0,8,NJ,52000,Individual,1384,72.1,1,0,18.35,Oct-1974,8 years,Administrator,F,RENT,w,23.13,Feb-2019,19750,0,19,0,0,0,0,0,0,debt_consolidation,F1,60 months,0,20758,0,Not Verified
3839,0,0,1,NC,35000,Individual,13566,69.1,1,0,13.92,Jul-1999,10+ years,OWNER,B,MORTGAGE,f,11.49,Mar-2018,7000,2,7,0,0,0,0,4,0,debt_consolidation,B5,36 months,304,94962,0,Source Verified
3840,0,0,5,CA,48000,Individual,12790,48.2,1,0,19.96,May-1999,10+ years,OWNER,B,MORTGAGE,w,10.49,Feb-2019,10000,3,16,0,0,0,0,1,0,debt_consolidation,B2,36 months,7510,191853,0,Source Verified
3841,0,0,4,CA,168000,Individual,10603,85.2,0,0,6.22,Oct-2000,8 years,OWNER,C,MORTGAGE,w,14.49,Oct-2016,12000,1,20,0,0,0,0,0,0,debt_consolidation,C4,60 months,0,190861,0,Source Verified
3842,0,0,3,OH,105237,Individual,3062,85.3,1,0,16.66,Apr-1990,n/a,OWNER,C,MORTGAGE,w,14.65,Feb-2019,3000,0,15,0,0,0,0,0,0,credit_card,C5,36 months,76,45933,0,Source Verified
3843,0,0,3,NY,86000,Individual,985,84.1,0,0,3.7,Nov-2004,3 years,OWNER,B,RENT,w,10.42,Feb-2019,10000,0,8,0,0,0,5936.8,0,0,credit_card,B3,36 months,0,6895,0,Source Verified
3844,0,0,4,TX,105000,Individual,14489,79.3,0,0,31.67,Nov-2010,10+ years,OWNER,B,OWN,w,9.17,Jan-2019,35000,0,10,0,0,0,0,0,0,credit_card,B2,36 months,0,130403,0,Verified
3845,0,0,2,NC,200000,Individual,5286,13.4,0,0,2.67,Nov-2004,< 1 year,Director,A,RENT,w,6.03,Feb-2015,10000,0,12,0,0,0,0,0,0,major_purchase,A1,36 months,0,47573,0,Verified
3846,0,0,3,CT,150000,Individual,43903,66.1,1,0,20.51,Dec-1987,10+ years,Director,B,OWN,w,9.99,Feb-2019,35000,2,8,0,0,0,0,0,0,credit_card,B3,36 months,0,351221,0,Source Verified
3847,0,0,15,CT,183000,Individual,18534,74.8,0,0,10.81,Mar-1987,10+ years,Director,F,MORTGAGE,f,25.57,Feb-2019,35000,4,30,0,0,0,0,0,0,credit_card,F5,60 months,0,518957,0,Verified
3848,0,0,3,MO,45000,Individual,5263,64.4,0,0,19.87,Jun-2003,7 years,Director,B,OWN,w,10.99,Feb-2019,7000,0,4,0,0,0,0,0,0,debt_consolidation,B4,36 months,0,21050,0,Verified
3849,0,0,8,CO,160000,Individual,37932,91.2,1,0,12.32,Nov-2001,10+ years,Director,B,MORTGAGE,w,11.53,Oct-2018,21000,2,12,0,0,0,0,0,0,debt_consolidation,B5,36 months,0,455179,0,Source Verified
3850,0,0,10,FL,220000,Individual,35115,40.7,0,0,28.88,Aug-1992,7 years,Director,A,MORTGAGE,w,6.07,Feb-2019,25000,2,22,0,0,0,18504.6,0,0,home_improvement,A2,36 months,0,667187,0,Verified
3851,0,0,8,FL,95292,Individual,3870,97.5,0,0,20.35,Feb-2006,10+ years,Director,G,RENT,w,30.94,Feb-2019,27900,0,15,0,0,0,23405.17,0,0,debt_consolidation,G4,60 months,0,58044,0,Verified
3852,0,0,2,FL,219500,Individual,37378,32.7,0,0,12.21,Feb-1993,10+ years,Director,A,MORTGAGE,w,6.11,Feb-2019,25000,6,14,0,0,0,21794.99,0,0,debt_consolidation,A1,36 months,0,523291,0,Source Verified
